 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.05E-01   2.35E-03   2.52E-06   5.20E-10   1.25E-11   3.93E-12
   Max.:          2.93E+02   6.36E+00   8.94E-03   5.31E-07   2.57E-08   6.97E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
    22      23    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
    23      24    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
    24      25    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
    25      26    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
    26      27    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
    27      28    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
    28      29    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
    29      30    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
    30      31    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    31      32    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    32      33    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    33      34    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    34      35    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    35      36    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    36      37    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    37      38    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    38      39    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    39      40    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
    40      41    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    41      42    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    42      43    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    43      44    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    44      45    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    45      46    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    46      47    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    47      48    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    48      49    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    49      50    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
    50      51    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    51      52    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    52      53    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    53      54    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    54      55    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    55      56    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    56      57    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    57      58    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    58      59    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    59      60    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
    60      61    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    61      62    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    62      63    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    63      64    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    64      65    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    65      66    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    66      67    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    67      68    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    68      69    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    69      70    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
    70      71    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
    71      72    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
    72      73    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
