 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.69E-06   2.81E-12   2.81E-12   1.80E-09   2.58E-12   1.29E-12
   Max.:          4.72E+03   1.12E+02   1.30E-01   1.10E-05   4.52E-07   9.85E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  20.5    20.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.6    20.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.7    20.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.8    20.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.9    21.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.0    21.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.1    21.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.2    21.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.3    21.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.4    21.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.5    21.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.6    21.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.7    21.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.8    21.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.9    22.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.0    22.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.1    22.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.2    22.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.3    22.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.4    22.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.5    22.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.6    22.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.7    22.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.8    22.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.9    23.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
